Approach,Train Time,Duration,Num Steps,Num Nodes,Successes
astar_uniform,9.54E-07,0.389637375,19.6,947.4,1
lrtdp,3.19E-05,7.241023993,42.5,8339.4,0.7
rtdp,3.81E-06,9.969717574,100,4591.3,0
uct1,1.19E-06,0.526570749,100,25.3,0
uct2,9.54E-07,0.770460629,100,25.3,0
uct3,9.54E-07,0.588803935,100,25.3,0
uct4,9.54E-07,0.316631627,100,53.6,0
uct5,1.19E-06,0.236975574,100,47.1,0
uct6,9.54E-07,0.233458972,100,86.3,0
