Approach,Train Time,Duration,Num Steps,Num Nodes,Successes
astar_uniform,5.25E-06,0.231161737,11.6,148,1
lrtdp,1.19E-06,2.080480623,11.6,902,1
rtdp,1.19E-06,2.981770611,29.7,610.9,0.8
uct1,7.15E-07,6.064081645,92,19.9,0.1
uct2,1.19E-06,6.847740746,85.6,18.8,0.2
uct3,9.54E-07,6.370632219,93,16.7,0.1
uct4,9.54E-07,4.00913372,100,24.2,0
uct5,9.54E-07,3.059739804,91.4,37.6,0.1
uct6,2.15E-06,2.638682604,100,35.7,0
