Approach,Train Time,Duration,Num Steps,Num Nodes,Successes
astar_uniform,7.15E-07,0.326156735,12.9,227.3,1
lrtdp,2.15E-06,4.786478853,21.4,901.7,0.9
rtdp,9.54E-07,9.580427957,82.4,743.2,0.2
uct1,9.54E-07,6.407701206,100,12.3,0
uct2,9.54E-07,6.695268178,100,12.3,0
uct3,9.54E-07,7.235979319,100,20.3,0
uct4,9.54E-07,3.9172508,100,22,0
uct5,9.54E-07,3.183016467,93,30.6,0.1
uct6,2.15E-06,2.216872454,100,39.1,0
