Approach,Train Time,Duration,Num Steps,Num Nodes,Successes
astar_uniform,3.81E-06,0.042143059,11.5,110.4,1
lrtdp,9.54E-07,0.214611578,11.5,1121.3,1
rtdp,1.67E-06,2.498385167,11.5,1022.6,1
uct1,9.54E-07,0.332768154,53.6,26.8,0.6
uct2,9.54E-07,0.332531667,47.3,22.8,0.7
uct3,9.54E-07,0.332425857,24.9,29.7,1
uct4,9.54E-07,0.235429597,43.8,39,0.8
uct5,1.19E-06,0.177892351,44.6,64.2,0.7
uct6,9.54E-07,0.147059369,45.7,59.9,0.7
