"Approach","Train Time","Duration","Num Steps","Num Nodes","Successes"
"astar_uniform","0.0","0.02882804681316685","2.1656407827707715","66.44554161115703","0.0"
"lrtdp","0.0","0.5627448788730943","2.1656407827707715","1624.327048349562","0.0"
"rtdp","0.0","2.502927006273925","26.7","1454.725183668723","0.30000000000000004"
"uct1","0.0","0.08375845367610514","30.26697870617416","12.37739875741264","0.4000000000000001"
"uct2","0.0","0.036814189384417925","23.0","9.59218431849597","0.4000000000000001"
"uct3","0.0","0.03126415537843088","27.049768945408758","10.435037134576955","0.45825756949558405"
"uct4","0.0","0.0419142565111215","31.285939333828544","9.463614531456784","0.45825756949558405"
"uct5","0.0","0.010125575062307362","29.213695418416343","23.95328787452779","0.4000000000000001"
"uct6","0.0","0.010718850870658887","29.19332115399","64.54618501507274","0.4000000000000001"

