Approach,Train Time,Duration,Num Steps,Num Nodes,Successes
astar_uniform,9.54E-07,0.201740766,10.9,142.2,1
lrtdp,9.54E-07,11.82048914,81.7,3929.9,0.2
rtdp,2.15E-06,10.62497323,90.7,1420.3,0.1
uct1,9.54E-07,6.080142546,91.9,19.9,0.1
uct2,9.54E-07,6.6958112,100,12.5,0
uct3,0,6.483525038,85.8,11.8,0.2
uct4,2.15E-06,4.020483303,85.3,30.5,0.2
uct5,9.54E-07,2.391756201,84.9,33.7,0.2
uct6,9.54E-07,1.962243819,83.5,38,0.2
