Approach,Train Time,Duration,Num Steps,Num Nodes,Successes
astar_uniform,0,0.013460919,2.872281323,34.93765877,0
lrtdp,0,0.080578506,2.872281323,583.809224,0
rtdp,0,2.052173239,2.872281323,540.7239961,0
uct1,0,0.105489218,38.46088923,12.96765206,0.489897949
uct2,0,0.100674744,35.18536628,15.19736819,0.458257569
uct3,0,0.080281208,6.818357573,13.78441149,0
uct4,0,0.047711148,29.0372175,9.664367543,0.4
uct5,0,0.059257637,36.84888058,45.08392175,0.458257569
uct6,0,0.035712666,36.35120356,33.80665615,0.458257569
